,J_true,J_obs,Q_true,Q_obs
61,0.06083155433601266,0.06250257823299937,0.05094152711118093,0.050941833473329916
62,0.03409248989024941,0.036740553258509945,0.05076601630679623,0.05082325343867073
63,0.052170679657019985,0.05470378372254788,0.050780648216694396,0.0507953465740031
64,0.05150637632808492,0.0521024545623955,0.05078820788452139,0.05092519225610107
65,0.06161873890696309,0.061980870441107054,0.05090102591600516,0.0508846822627769
66,0.05510323347125738,0.05205981045530339,0.05094479891137237,0.05086478083720265
67,0.038282166604196706,0.036522943103090566,0.050812896491505964,0.05080691487634457
68,0.044315168739324784,0.043288150759438315,0.05074521182742075,0.050709885278936294
69,0.061806647940279374,0.05817948478960294,0.05086043512026303,0.05104679180539219
70,0.03749421610558219,0.04104213331095855,0.050721203672193446,0.05072221068289441
71,0.04284050569763522,0.041880108020084926,0.0506391130682918,0.050661283690580455
72,0.05257312090585597,0.051969392176578276,0.050659258983266425,0.05073568392440603
73,0.03192160059373919,0.03370646403278492,0.050464075041708856,0.05043522967908283
74,0.054277835452280446,0.05549910891067441,0.050503801712652306,0.050625350636888694
75,0.04871384178564085,0.04908741662482446,0.05048515629674594,0.050531003242439275
76,0.05919125289532443,0.05839081180256618,0.05057584480298113,0.05049533697888703
77,0.03536992296551346,0.03511190496975428,0.05041744978384084,0.05035994672599992
78,0.04084942027481554,0.04250973746499345,0.05031778280978849,0.050360982311603436
79,0.024544309653087994,0.02766351524985506,0.05004930913107286,0.050086205418108425
80,0.04299005868457348,0.04427924323146721,0.04997577527225516,0.049870303404537145
81,0.047160948362376026,0.04917068991150282,0.04994645415861059,0.04984262884365357
82,0.03993962343462291,0.03897702474173894,0.049842216338569056,0.04963745439041111
83,0.05032519931373757,0.0503472194385735,0.049847247411227064,0.0498701201570626
84,0.04485127567465193,0.043035445944754204,0.04979520603897108,0.04984681948833277
85,0.05114693655554145,0.05094127964052576,0.04980928656518535,0.049850393971019404
86,0.03281605952599624,0.03156921379400551,0.04963227378352713,0.04961639100706873
87,0.0394119914902143,0.03958014355067044,0.04952581250963846,0.04938182826800945
88,0.051306184315304176,0.05121856438610867,0.04954435804928081,0.04954878529956445
89,0.05598013432639565,0.0530190465799138,0.04961139738550076,0.049599177042098305
90,0.048274321552152395,0.04567741688366879,0.049597469512236717,0.049675189493680286
91,0.06112489398637411,0.06228551296305638,0.049717546850508984,0.04961174195218537
92,0.056846348688252515,0.059409647740277245,0.04979180520298548,0.04973202910773948
93,0.0639661635690492,0.06274952894268597,0.04993945476929864,0.049912377618898655
94,0.04717761952081401,0.051086062138067795,0.04991068565212693,0.04984192682130388
95,0.05150563658897439,0.05485583519563238,0.04992729972438576,0.04998400248811916
96,0.037761882793834155,0.03627470204154109,0.049800576631359186,0.04979327186969174
97,0.06877856925684422,0.07354809616260259,0.04999826405454132,0.049997424237415114
98,0.06576592956422689,0.06385588421695447,0.050162510570267216,0.050236789324154776
99,0.03977826178846495,0.038479234547020166,0.05005434131212344,0.050065075184733666
