,index,J_true,J_obs,Q_true,Q_obs
832,1432,0.0,0.0007722479826289694,0.0003835714475850342,0.0003956359384221407
833,1433,0.0,0.000938316403700116,0.00037957591167269014,0.00027387098741772967
834,1434,0.0,0.0009492336576013805,0.00037562199592609965,0.000405449308039996
835,1435,0.0,0.0020544399351647325,0.00037170926680186946,0.00035024373710164705
836,1436,0.0,0.0024705656969163134,0.00036783729527268335,0.0003803055696353067
837,1437,0.0,0.0007881747559306631,0.00036400565678025955,0.0003497965523111113
838,1438,0.0,0.0012996011589324426,0.00036021393118879856,0.0003629884449916283
839,1439,0.0,0.0004913394233221812,0.00035646170273891526,0.0003849589676522912
840,1440,0.0,0.0012144740407341987,0.00035274856000205157,0.00045500678290551455
841,1441,0.0,0.0013124590838964872,0.00034907409583536357,0.000257225646119859
842,1442,0.0,0.0008842498603601979,0.00034543790733707855,0.00039095079672780053
843,1443,0.0,0.0019712167747729555,0.00034183959580231734,0.000368549958854632
844,1444,0.0,0.0021092977064706506,0.0003382787666793766,0.0003214880674064387
845,1445,0.0,0.0012031774746391018,0.0003347550295264664,0.0002933837632263184
846,1446,0.0,0.0025072713879877914,0.00033126799796889903,0.0003037126997400955
847,1447,0.0,0.0006414648763008158,0.00032781728965672303,0.00039265957022297437
848,1448,0.0,0.00040493637762007383,0.00032440252622279884,0.00028019361348320177
849,1449,0.0,0.0008417373570506196,0.00032102333324131137,0.00034689447729980275
850,1450,0.0,0.0018210944664234158,0.0003176793401867144,0.000304036509781108
851,1451,0.0,0.0016608428746979962,0.00031437018039310276,0.0003556952657747752
852,1452,0.0,0.0012944089762805956,0.00031109549101400794,0.0002724346419425406
853,1453,0.0,0.002366067620209047,0.000307854912982612,0.00038942365956747677
854,1454,0.0,0.0011014650929905144,0.00030464809097237647,0.0003285777023437677
855,1455,0.0,0.0012832782219235625,0.0003014746733580809,0.0002741573355019413
856,1456,0.0,0.0002962811473480033,0.0002983343121772676,0.0002972525152388997
857,1457,0.0,0.002045607273577251,0.00029522666309208774,0.00020052079489201295
858,1458,0.0,0.0003731683464998554,0.00029215138535154515,0.00029588905817893186
859,1459,0.0,5.781883759859288e-05,0.0002891081417541332,0.0002475513779543035
860,1460,0.0,0.0021554933504058615,0.00028609659861086103,0.00028720478405963893
861,1461,0.0,0.0013443834415791669,0.0002831164257086646,0.00020992337608081546
862,1462,0.0,0.0017808766904763196,0.00028016729627419935,0.00028192788354316996
863,1463,0.0,0.0004086669036406548,0.00027724888693800976,0.00028808597440366517
864,1464,0.0,0.00047451319987485666,0.0002743608776990722,0.0002485787319153712
865,1465,0.0,0.0006455198036108178,0.0002715029518897069,0.0002182407075740102
866,1466,0.0,0.00014559636743436194,0.00026867479614085577,0.0003446250286249577
867,1467,0.0,0.001077998136876221,0.00026587610034772185,0.0003272542517535935
868,1468,0.0,0.000995153472148467,0.00026310655763576643,0.00030189386326801807
869,1469,0.0,0.00041036546699357434,0.00026036586432706053,0.00022780832060034057
870,1470,0.0,0.00021190115176076716,0.000257653719906987,0.00018019799490558174
871,1471,0.0,0.0013252357723507106,0.0002549698269912892,0.0002072541380966234
872,1472,0.0,0.0017468569610246726,0.0002523138912934633,0.00024969525362451925
873,1473,0.0,0.000573300334670863,0.0002496856215924897,0.00023813021545967096
874,1474,0.0,0.0015523678521834317,0.0002470847297009013,0.0002630007981487836
875,1475,0.0,0.0024203967890191152,0.00024451093043318354,0.00021849993810348545
876,1476,0.0,0.00012197635312471665,0.00024196394157450455,0.00020630876069417775
877,1477,0.0,0.00044805392806774273,0.00023944348384977014,0.00023669175881085673
878,1478,0.0,0.0021386086433039606,0.0002369492808930017,0.00024011869598011937
879,1479,0.0,0.0008861181474970959,0.00023448105921703295,0.00029474420332507146
880,1480,0.0,0.00011056645402321748,0.0002320385481835222,0.00023262017202278635
881,1481,0.0,0.0008807025940861348,0.0002296214799732772,0.0002988534197157958
882,1482,0.0,0.002563720176877345,0.0002272295895568889,0.00019426200643418007
883,1483,0.0,0.00022272549946734073,0.0002248626146656713,0.0003173869525784543
884,1484,0.0,0.0008548540190430707,0.0002225202957629039,0.00014829994979013306
885,1485,0.0,0.0008493257590868932,0.00022020237601537364,0.000199951775250616
886,1486,0.0,0.0024411079640281434,0.0002179086012652135,0.0002313277721187165
887,1487,0.0,0.0005577864778490871,0.00021563872000203421,0.00033163652538784646
888,1488,0.0,8.294105502224811e-05,0.00021339248333534638,0.00021291029400367578
889,1489,0.0,0.0012074433013348448,0.00021116964496726987,0.00025693480199791253
890,1490,0.0,0.000525034234325488,0.00020896996116552747,0.00034042666498786676
891,1491,0.0,0.0018696965010619084,0.0002067931907367199,0.0001418656087601897
892,1492,0.0,0.0009665703928388209,0.0002046390949998791,0.00022971839751278607
893,1493,0.0,0.0016413035608198506,0.00020250743776029702,0.00014053142600551645
894,1494,0.0,0.0021820461791799035,0.00020039798528362728,0.00027206277612701536
895,1495,0.0,0.0020874717984561038,0.00019831050627025618,0.00015688905405365254
896,1496,0.0,0.001705432264474128,0.000196244771829941,0.00021772802955108574
897,1497,0.0,0.0012112537404558685,0.00019420055545671248,0.00025681526434885604
898,1498,0.0,0.0011207234828383562,0.0001921776330040384,0.0001463522598481258
899,1499,0.0,0.001349183285588485,0.00019017578266024635,0.00013565350518685647
900,1500,0.0,0.0026117052548345894,0.0001881947849242021,0.00018048009910489923
901,1501,0.0,0.00022329653766687388,0.0001862344225812417,0.00022416815779286383
902,1502,0.0,0.001180081261334834,0.00018429448067935376,0.0001660655150058519
903,1503,0.0,0.0004090018578781038,0.00018237474650561051,0.0001671229942658684
904,1504,0.0,0.0025914676405465035,0.00018047500956284374,0.0001443099682801469
905,1505,0.0,0.002036986826924962,0.00017859506154656413,0.00019752976391535732
